Date,heart
2018-09-25 23:23:33,65
2018-09-25 23:23:43,66
2018-09-25 23:23:48,65
2018-09-25 23:23:53,64
2018-09-25 23:24:00,63
2018-09-25 23:24:10,65
2018-09-25 23:24:25,65
2018-09-25 23:24:30,72
2018-09-25 23:24:35,70
2018-09-25 23:24:40,67
2018-09-25 23:24:50,71
2018-09-25 23:24:55,63
2018-09-25 23:25:00,60
2018-09-25 23:25:10,61
2018-09-25 23:25:25,61
2018-09-25 23:25:30,60
2018-09-25 23:25:40,61
2018-09-25 23:25:45,62
2018-09-25 23:26:00,62
2018-09-25 23:26:15,62
2018-09-25 23:26:20,63
2018-09-25 23:26:25,62
2018-09-25 23:26:30,63
2018-09-25 23:26:35,65
2018-09-25 23:26:45,63
2018-09-25 23:26:55,64
2018-09-25 23:27:00,62
2018-09-25 23:27:05,62
2018-09-25 23:27:20,62
2018-09-25 23:27:35,63
2018-09-25 23:27:40,70
2018-09-25 23:27:47,78
2018-09-25 23:27:52,79
2018-09-25 23:27:57,74
2018-09-25 23:28:02,73
2018-09-25 23:28:07,70
2018-09-25 23:28:12,74
2018-09-25 23:28:17,66
2018-09-25 23:28:22,64
2018-09-25 23:28:27,66
2018-09-25 23:28:32,63
2018-09-25 23:28:37,64
2018-09-25 23:28:42,69
2018-09-25 23:28:47,72
2018-09-25 23:28:57,66
2018-09-25 23:29:02,65
2018-09-25 23:29:07,61
2018-09-25 23:29:12,60
2018-09-25 23:29:17,59
2018-09-25 23:29:22,59
2018-09-25 23:29:27,59
2018-09-25 23:29:32,58
2018-09-25 23:29:37,59
2018-09-25 23:29:42,60
2018-09-25 23:29:47,58
2018-09-25 23:29:52,61
2018-09-25 23:29:57,62
2018-09-25 23:30:02,63
2018-09-25 23:30:08,64
2018-09-25 23:30:13,63
2018-09-25 23:30:18,62
2018-09-25 23:30:23,61
2018-09-25 23:30:33,62
2018-09-25 23:30:38,66
2018-09-25 23:30:43,63
2018-09-25 23:30:58,63
2018-09-25 23:31:03,60
2018-09-25 23:31:18,61
2018-09-25 23:31:33,62
2018-09-25 23:31:38,61
2018-09-25 23:31:43,60
2018-09-25 23:31:53,61
2018-09-25 23:32:03,58
2018-09-25 23:32:08,60
2018-09-25 23:32:13,59
2018-09-25 23:32:18,60
2018-09-25 23:32:28,61
2018-09-25 23:32:33,62
2018-09-25 23:32:38,63
2018-09-25 23:32:48,61
2018-09-25 23:33:03,60
2018-09-25 23:33:13,59
2018-09-25 23:33:18,60
2018-09-25 23:33:23,59
2018-09-25 23:33:28,58
2018-09-25 23:33:35,59
2018-09-25 23:33:40,57
2018-09-25 23:33:55,58
2018-09-25 23:34:00,61
2018-09-25 23:34:05,62
2018-09-25 23:34:10,68
2018-09-25 23:34:15,63
2018-09-25 23:34:30,61
2018-09-25 23:34:35,62
2018-09-25 23:34:40,61
2018-09-25 23:34:45,62
2018-09-25 23:35:00,64
2018-09-25 23:35:10,60
2018-09-25 23:35:15,59
2018-09-25 23:35:20,60
2018-09-25 23:35:30,58
2018-09-25 23:35:35,59
